"name"	"value"	"date_of_information"	"ranking"	"region"
"Niger"	"47.28"	"2021 est."	"1"	"Africa"
"Angola"	"42.22"	"2021 est."	"2"	"Africa"
"Mali"	"41.60"	"2021 est."	"3"	"Africa"
"Uganda"	"41.60"	"2021 est."	"4"	"Africa"
"Benin"	"41.55"	"2021 est."	"5"	"Africa"
"Chad"	"41.05"	"2021 est."	"6"	"Africa"
"Congo, Democratic Republic of the"	"40.53"	"2021 est."	"7"	"Africa"
"South Sudan"	"38.26"	"2021 est."	"8"	"Africa"
"Somalia"	"38.25"	"2021 est."	"9"	"Africa"
"Mozambique"	"38.03"	"2021 est."	"10"	"Africa"
"Liberia"	"36.96"	"2021 est."	"11"	"Africa"
"Guinea-Bissau"	"36.64"	"2021 est."	"12"	"Africa"
"Afghanistan"	"36.08"	"2021 est."	"13"	"South Asia"
"Cameroon"	"35.91"	"2021 est."	"14"	"Africa"
"Guinea"	"35.86"	"2021 est."	"15"	"Africa"
"Burundi"	"35.48"	"2021 est."	"16"	"Africa"
"Zambia"	"35.23"	"2021 est."	"17"	"Africa"
"Sierra Leone"	"35.04"	"2021 est."	"18"	"Africa"
"Nigeria"	"34.38"	"2021 est."	"19"	"Africa"
"Burkina Faso"	"34.34"	"2021 est."	"20"	"Africa"
"Tanzania"	"33.71"	"2021 est."	"21"	"Africa"
"Sudan"	"33.63"	"2021 est."	"22"	"Africa"
"Zimbabwe"	"33.34"	"2021 est."	"23"	"Africa"
"Central African Republic"	"33.20"	"2021 est."	"24"	"Africa"
"Togo"	"32.34"	"2021 est."	"25"	"Africa"
"Congo, Republic of the"	"32.15"	"2021 est."	"26"	"Africa"
"Timor-Leste"	"31.45"	"2021 est."	"27"	"East Asia/Southeast Asia"
"Senegal"	"31.31"	"2021 est."	"28"	"Africa"
"Ethiopia"	"31.03"	"2021 est."	"29"	"Africa"
"Equatorial Guinea"	"30.09"	"2021 est."	"30"	"Africa"
"Madagascar"	"29.22"	"2021 est."	"31"	"Africa"
"Ghana"	"29.08"	"2021 est."	"32"	"Africa"
"Sao Tome and Principe"	"28.94"	"2021 est."	"33"	"Africa"
"Cote d'Ivoire"	"28.67"	"2021 est."	"34"	"Africa"
"Malawi"	"28.59"	"2021 est."	"35"	"Africa"
"Mauritania"	"28.49"	"2021 est."	"36"	"Africa"
"Gaza Strip"	"28.10"	"2021 est."	"37"	"Middle East"
"Eritrea"	"27.41"	"2021 est."	"38"	"Africa"
"Rwanda"	"27.18"	"2021 est."	"39"	"Africa"
"Pakistan"	"26.95"	"2021 est."	"40"	"South Asia"
"Kenya"	"26.78"	"2021 est."	"41"	"Africa"
"Egypt"	"26.44"	"2021 est."	"42"	"Africa"
"Gambia, The"	"26.42"	"2021 est."	"43"	"Africa"
"Gabon"	"26.14"	"2021 est."	"44"	"Africa"
"Namibia"	"25.33"	"2021 est."	"45"	"Africa"
"Iraq"	"25.21"	"2021 est."	"46"	"Middle East"
"Yemen"	"25.21"	"2021 est."	"47"	"Middle East"
"West Bank"	"24.80"	"2021 est."	"48"	"Middle East"
"Eswatini"	"23.87"	"2021 est."	"49"	"Africa"
"Lesotho"	"23.30"	"2021 est."	"50"	"Africa"
"Syria"	"23.25"	"2021 est."	"51"	"Middle East"
"Solomon Islands"	"23.07"	"2021 est."	"52"	"Australia - Oceania"
"Comoros"	"22.98"	"2021 est."	"53"	"Africa"
"Tuvalu"	"22.97"	"2021 est."	"54"	"Australia - Oceania"
"Guatemala"	"22.79"	"2021 est."	"55"	"Central America"
"Jordan"	"22.79"	"2021 est."	"56"	"Middle East"
"Laos"	"22.74"	"2021 est."	"57"	"East Asia/Southeast Asia"
"Philippines"	"22.66"	"2021 est."	"58"	"East Asia/Southeast Asia"
"Oman"	"22.58"	"2021 est."	"59"	"Middle East"
"Djibouti"	"22.43"	"2021 est."	"60"	"Africa"
"Marshall Islands"	"22.42"	"2021 est."	"61"	"Australia - Oceania"
"Libya"	"22.23"	"2021 est."	"62"	"Africa"
"Papua New Guinea"	"22.08"	"2021 est."	"63"	"East Asia/Southeast Asia"
"Vanuatu"	"21.95"	"2021 est."	"64"	"Australia - Oceania"
"Belize"	"21.62"	"2021 est."	"65"	"Central America"
"Nauru"	"21.49"	"2021 est."	"66"	"Australia - Oceania"
"Haiti"	"21.40"	"2021 est."	"67"	"Central America"
"Tajikistan"	"21.22"	"2021 est."	"68"	"Central Asia"
"Cambodia"	"20.84"	"2021 est."	"69"	"East Asia/Southeast Asia"
"Botswana"	"20.60"	"2021 est."	"70"	"Africa"
"Tonga"	"20.60"	"2021 est."	"71"	"Australia - Oceania"
"Bolivia"	"20.36"	"2021 est."	"72"	"South America"
"Kiribati"	"20.27"	"2021 est."	"73"	"Australia - Oceania"
"Kyrgyzstan"	"20.06"	"2021 est."	"74"	"Central Asia"
"Samoa"	"19.32"	"2021 est."	"75"	"Australia - Oceania"
"Algeria"	"19.24"	"2021 est."	"76"	"Africa"
"South Africa"	"18.89"	"2021 est."	"77"	"Africa"
"Cabo Verde"	"18.78"	"2021 est."	"78"	"Africa"
"Guam"	"18.76"	"2021 est."	"79"	"Australia - Oceania"
"Micronesia, Federated States of"	"18.65"	"2021 est."	"80"	"Australia - Oceania"
"Dominican Republic"	"18.24"	"2021 est."	"81"	"Central America"
"El Salvador"	"18.22"	"2021 est."	"82"	"Central America"
"Honduras"	"18.19"	"2021 est."	"83"	"Central America"
"Kuwait"	"17.90"	"2021 est."	"84"	"Middle East"
