"Rank "	"Change from Last Year: Rank "	"Country "	"Region "	"Regime type "	"Elec­toral pro­cess and plura­lism "	"Func­tioning of govern­ment "	"Poli­tical partici­pation "	"Poli­tical cul­ture "	"Civil liber­ties "	"Overall score "	"Change from Last Year: Score"
1	"Steady "	" Norway "	"Western Europe "	"Full democracy "	10	9.64	10	10	9.41	9.81	"Decrease 0.06"
2	"Steady "	" Iceland "	"Western Europe "	"Full democracy "	10	8.57	8.89	10	9.41	9.37	"Decrease 0.21"
3	"Steady "	" Sweden "	"Western Europe "	"Full democracy "	9.58	9.29	8.33	10	9.12	9.26	"Decrease 0.13"
4	"Steady "	" New Zealand "	"Asia and Australasia "	"Full democracy "	10	8.93	8.89	8.75	9.71	9.25	"Decrease 0.01"
5	"Increase 2 "	" Canada "	"North America "	"Full democracy "	9.58	8.93	8.89	9.38	9.41	9.24	"Increase 0.02"
6	"Decrease 1 "	" Finland "	"Western Europe "	"Full democracy "	10	8.93	8.89	8.75	9.41	9.2	"Decrease 0.05"
7	"Steady "	" Denmark "	"Western Europe "	"Full democracy "	10	8.93	8.33	9.38	9.12	9.15	"Decrease 0.07"
8	"Decrease 2 "	" Ireland "	"Western Europe "	"Full democracy "	10	7.86	8.33	9.38	9.71	9.05	"Decrease 0.19"
9	"Steady "	" Australia "	"Western Europe "	"Full democracy "	10	8.57	7.78	8.75	9.71	8.96	"Decrease 0.13"
9	"Increase 2 "	" Netherlands "	"Asia and Australasia "	"Full democracy "	9.58	9.29	8.33	8.75	8.82	8.96	"Decrease 0.05"
11	"Increase 20 "	" Taiwan "	"Asia and Australasia "	"Full democracy "	10	9.64	7.22	8.13	9.71	8.94	"Increase 1.21"
12	"Decrease 2 "	"  Switzerland "	"Western Europe "	"Full democracy "	9.58	8.57	7.78	9.38	8.82	8.83	"Decrease 0.20"
13	"Decrease 1 "	" Luxembourg "	"Western Europe "	"Full democracy "	10	8.57	6.67	8.75	9.71	8.68	"Decrease 0.13"
14	"Decrease 1 "	" Germany "	"Western Europe "	"Full democracy "	9.58	8.21	8.33	8.13	9.12	8.67	"Decrease 0.01"
15	"Steady "	" Uruguay "	"Latin America and the Caribbean "	"Full democracy "	10	8.57	6.67	8.13	9.71	8.61	"Increase 0.23"
16	"Decrease 2 "	" United Kingdom "	"Western Europe "	"Full democracy "	10	7.5	8.89	7.5	8.82	8.54	"Increase 0.02"
17	"Increase 4 "	" Chile "	"Latin America and the Caribbean "	"Full democracy "	9.58	8.21	6.67	8.13	8.82	8.28	"Increase 0.20"
18	"Decrease 2 "	" Austria "	"Western Europe "	"Full democracy "	9.58	7.5	8.33	6.88	8.53	8.16	"Decrease 0.13"
18	"Increase 1 "	" Costa Rica "	"Latin America and the Caribbean "	"Full democracy "	9.58	6.79	7.22	7.5	9.71	8.16	"Increase 0.03"
20	"Decrease 2 "	" Mauritius "	"Sub-Saharan Africa "	"Full democracy "	9.17	7.86	6.11	8.75	8.82	8.14	"Decrease 0.08"
