"key"	"value"
"region"	"Afghanistan"
"agriculture"	"23% (2016 est.)"
"industry"	"21.1% (2016 est.)"
"services"	"55.9% (2016 est.)"
"note"	"data exclude opium production"
"region"	"Albania"
"agriculture"	"21.7% (2017 est.)"
"industry"	"24.2% (2017 est.)"
"services"	"54.1% (2017 est.)"
"region"	"Algeria"
"agriculture"	"13.3% (2017 est.)"
"industry"	"39.3% (2017 est.)"
"services"	"47.4% (2017 est.)"
"region"	"American Samoa"
"agriculture"	"27.4% (2012)"
"industry"	"12.4% (2012)"
"services"	"60.2% (2012)"
"region"	"Andorra"
"agriculture"	"11.9% (2015 est.)"
"industry"	"33.6% (2015 est.)"
"services"	"54.5% (2015 est.)"
"region"	"Angola"
"agriculture"	"10.2% (2011 est.)"
"industry"	"61.4% (2011 est.)"
"services"	"28.4% (2011 est.)"
"region"	"Anguilla"
"agriculture"	"3% (2017 est.)"
"industry"	"10.5% (2017 est.)"
"services"	"86.4% (2017 est.)"
"region"	"Antigua and Barbuda"
"agriculture"	"1.8% (2017 est.)"
"industry"	"20.8% (2017 est.)"
"services"	"77.3% (2017 est.)"
"region"	"Argentina"
"agriculture"	"10.8% (2017 est.)"
"industry"	"28.1% (2017 est.)"
"services"	"61.1% (2017 est.)"
"region"	"Armenia"
"agriculture"	"16.7% (2017 est.)"
"industry"	"28.2% (2017 est.)"
"services"	"54.8% (2017 est.)"
"region"	"Aruba"
"agriculture"	"0.4% (2002 est.)"
"industry"	"33.3% (2002 est.)"
"services"	"66.3% (2002 est.)"
"region"	"Australia"
"agriculture"	"3.6% (2017 est.)"
"industry"	"25.3% (2017 est.)"
"services"	"71.2% (2017 est.)"
"region"	"Austria"
"agriculture"	"1.3% (2017 est.)"
"industry"	"28.4% (2017 est.)"
"services"	"70.3% (2017 est.)"
"region"	"Azerbaijan"
"agriculture"	"6.1% (2017 est.)"
"industry"	"53.5% (2017 est.)"
"services"	"40.4% (2017 est.)"
"region"	"Bahamas, The"
"agriculture"	"2.3% (2017 est.)"
"industry"	"7.7% (2017 est.)"
"services"	"90% (2017 est.)"
"region"	"Bahrain"
"agriculture"	"0.3% (2017 est.)"
"industry"	"39.3% (2017 est.)"
"services"	"60.4% (2017 est.)"
"region"	"Bangladesh"
"agriculture"	"14.2% (2017 est.)"
"industry"	"29.3% (2017 est.)"
"services"	"56.5% (2017 est.)"
"region"	"Barbados"
"agriculture"	"1.5% (2017 est.)"
"industry"	"9.8% (2017 est.)"
"services"	"88.7% (2017 est.)"
"region"	"Belarus"
"agriculture"	"8.1% (2017 est.)"
"industry"	"40.8% (2017 est.)"
"services"	"51.1% (2017 est.)"
"region"	"Belgium"
"agriculture"	"0.7% (2017 est.)"
"industry"	"22.1% (2017 est.)"
"services"	"77.2% (2017 est.)"
"region"	"Belize"
"agriculture"	"10.3% (2017 est.)"
"industry"	"21.6% (2017 est.)"
"services"	"68% (2017 est.)"
"region"	"Benin"
"agriculture"	"26.1% (2017 est.)"
"industry"	"22.8% (2017 est.)"
"services"	"51.1% (2017 est.)"
"region"	"Bermuda"
"agriculture"	"0.9% (2017 est.)"
"industry"	"5.3% (2017 est.)"
"services"	"93.8% (2017 est.)"
"region"	"Bhutan"
"agriculture"	"16.2% (2017 est.)"
"industry"	"41.8% (2017 est.)"
"services"	"42% (2017 est.)"
"region"	"Bolivia"
"agriculture"	"13.8% (2017 est.)"
"industry"	"37.8% (2017 est.)"
"services"	"48.2% (2017 est.)"
"region"	"Bosnia and Herzegovina"
"agriculture"	"6.8% (2017 est.)"
"industry"	"28.9% (2017 est.)"
"services"	"64.3% (2017 est.)"
"region"	"Botswana"
"agriculture"	"1.8% (2017 est.)"
"industry"	"27.5% (2017 est.)"
"services"	"70.6% (2017 est.)"
"region"	"Brazil"
"agriculture"	"6.6% (2017 est.)"
"industry"	"20.7% (2017 est.)"
