"name"	"value"	"date_of_information"	"ranking"	"region"
"Liechtenstein"	"$139,100"	"2009 est."	"1"	"Europe"
"Monaco"	"$115,700"	"2015 est."	"2"	"Europe"
"Luxembourg"	"$110,300"	"2020 est."	"3"	"Europe"
"Singapore"	"$93,400"	"2020 est."	"4"	"East Asia/Southeast Asia"
"Ireland"	"$89,700"	"2020 est."	"5"	"Europe"
"Qatar"	"$85,300"	"2020 est."	"6"	"Middle East"
"Isle of Man"	"$84,600"	"2014 est."	"7"	"Europe"
"Bermuda"	"$81,800"	"2019 est."	"8"	"North America"
"Cayman Islands"	"$73,600"	"2019 est."	"9"	"Central America"
"Falkland Islands (Islas Malvinas)"	"$70,800"	"2015 est."	"10"	"South America"
"Switzerland"	"$68,400"	"2020 est."	"11"	"Europe"
"United Arab Emirates"	"$67,100"	"2019 est."	"12"	"Middle East"
"Norway"	"$63,600"	"2020 est."	"13"	"Europe"
"Brunei"	"$62,200"	"2020 est."	"14"	"East Asia/Southeast Asia"
"Gibraltar"	"$61,700"	"2014 est."	"15"	"Europe"
"San Marino"	"$60,800"	"2019 est."	"16"	"Europe"
"United States"	"$60,200"	"2020 est."	"17"	"North America"
"Jersey"	"$56,600"	"2016 est."	"18"	"Europe"
"Hong Kong"	"$56,200"	"2020 est."	"19"	"East Asia/Southeast Asia"
"Denmark"	"$55,900"	"2020 est."	"20"	"Europe"
"Macau"	"$54,800"	"2020 est."	"21"	"East Asia/Southeast Asia"
"Netherlands"	"$54,200"	"2020 est."	"22"	"Europe"
"Guernsey"	"$52,500"	"2014 est."	"23"	"Europe"
"Iceland"	"$52,300"	"2020 est."	"24"	"Europe"
"Austria"	"$51,900"	"2020 est."	"25"	"Europe"
"Germany"	"$50,900"	"2020 est."	"26"	"Europe"
"Sweden"	"$50,700"	"2020 est."	"27"	"Europe"
"Andorra"	"$49,900"	"2015 est."	"28"	"Europe"
"Kuwait"	"$49,900"	"2019 est."	"29"	"Middle East"
"Australia"	"$48,700"	"2020 est."	"30"	"Australia - Oceania"
"Belgium"	"$48,200"	"2020 est."	"31"	"Europe"
"Finland"	"$47,300"	"2020 est."	"32"	"Europe"
