"name"	"value"	"date_of_information"	"ranking"	"region"
"South Africa"	"63.0"	"2014 est."	"1"	"Africa"
"Namibia"	"59.1"	"2015 est."	"2"	"Africa"
"Zambia"	"57.1"	"2015 est."	"3"	"Africa"
"Sao Tome and Principe"	"56.3"	"2017 est."	"4"	"Africa"
"Eswatini"	"54.6"	"2016 est."	"5"	"Africa"
"Mozambique"	"54.0"	"2014 est."	"6"	"Africa"
"Brazil"	"53.9"	"2018 est."	"7"	"South America"
"Hong Kong"	"53.9"	"2016"	"8"	"East Asia/Southeast Asia"
"Botswana"	"53.3"	"2015 est."	"9"	"Africa"
"Honduras"	"52.1"	"2018 est."	"10"	"Central America"
"Angola"	"51.3"	"2018 est."	"11"	"Africa"
"Saint Lucia"	"51.2"	"2016 est."	"12"	"Central America"
"Papua New Guinea"	"50.9"	"1996"	"13"	"East Asia/Southeast Asia"
"Guinea-Bissau"	"50.7"	"2010 est."	"14"	"Africa"
"Colombia"	"50.4"	"2018 est."	"15"	"South America"
"Panama"	"49.2"	"2018 est."	"16"	"Central America"
"Congo, Republic of the"	"48.9"	"2011 est."	"17"	"Africa"
"Guatemala"	"48.3"	"2014 est."	"18"	"Central America"
"Costa Rica"	"48.0"	"2018 est."	"19"	"Central America"
"Benin"	"47.8"	"2015 est."	"20"	"Africa"
"Seychelles"	"46.8"	"2013 est."	"21"	"Africa"
"Cameroon"	"46.5"	"2014 est."	"22"	"Africa"
"Nicaragua"	"46.2"	"2014 est."	"23"	"Central America"
"Paraguay"	"46.2"	"2018 est."	"24"	"South America"
"South Sudan"	"46.0"	"2010 est."	"25"	"Africa"
"Saudi Arabia"	"45.9"	"2013 est."	"26"	"Middle East"
"Singapore"	"45.9"	"2017"	"27"	"East Asia/Southeast Asia"
"Ecuador"	"45.4"	"2018 est."	"28"	"South America"
"Comoros"	"45.3"	"2014 est."	"29"	"Africa"
"Lesotho"	"44.9"	"2017 est."	"30"	"Africa"
"Malawi"	"44.7"	"2016 est."	"31"	"Africa"
"Guyana"	"44.6"	"2007"	"32"	"South America"
"Chile"	"44.4"	"2017 est."	"33"	"South America"
"Philippines"	"44.4"	"2015 est."	"34"	"East Asia/Southeast Asia"
"Zimbabwe"	"44.3"	"2017 est."	"35"	"Africa"
"Dominican Republic"	"43.7"	"2018 est."	"36"	"Central America"
"Rwanda"	"43.7"	"2016 est."	"37"	"Africa"
"Central African Republic"	"43.6"	"2003 est."	"38"	"Africa"
"Ghana"	"43.5"	"2016 est."	"39"	"Africa"
"Chad"	"43.3"	"2011 est."	"40"	"Africa"
"Togo"	"43.1"	"2015 est."	"41"	"Africa"
"Peru"	"42.8"	"2018 est."	"42"	"South America"
"Uganda"	"42.8"	"2016 est."	"43"	"Africa"
"Madagascar"	"42.6"	"2012 est."	"44"	"Africa"
"Cabo Verde"	"42.4"	"2015 est."	"45"	"Africa"
"Bolivia"	"42.2"	"2018 est."	"46"	"South America"
"Congo, Democratic Republic of the"	"42.1"	"2012 est."	"47"	"Africa"
"Turkey"	"41.9"	"2018 est."	"48"	"Middle East"
"Djibouti"	"41.6"	"2017 est."	"49"	"Africa"
"Cote d'Ivoire"	"41.5"	"2015 est."	"50"	"Africa"
"Argentina"	"41.4"	"2018 est."	"51"	"South America"
"Haiti"	"41.1"	"2012 est."	"52"	"Central America"
"Qatar"	"41.1"	"2007"	"53"	"Middle East"
"United States"	"41.1"	"2016 est."	"54"	"North America"
"Malaysia"	"41.0"	"2015 est."	"55"	"East Asia/Southeast Asia"
