"key"	"value"	"number"
"region"	"Afghanistan"	1
"total population"	"53.25 years"	1
"male"	"51.73 years"	1
"female"	"54.85 years (2021 est.)"	1
"region"	"Albania"	2
"total population"	"79.23 years"	2
"male"	"76.55 years"	2
"female"	"82.12 years (2021 est.)"	2
"region"	"Algeria"	3
"total population"	"77.79 years"	3
"male"	"76.32 years"	3
"female"	"79.33 years (2021 est.)"	3
"region"	"American Samoa"	4
"total population"	"75.06 years"	4
"male"	"72.55 years"	4
"female"	"77.72 years (2021 est.)"	4
"region"	"Andorra"	5
"total population"	"83.23 years"	5
"male"	"80.99 years"	5
"female"	"85.6 years (2021 est.)"	5
"region"	"Angola"	6
"total population"	"61.71 years"	6
"male"	"59.66 years"	6
"female"	"63.81 years (2021 est.)"	6
"region"	"Anguilla"	7
"total population"	"82 years"	7
"male"	"79.37 years"	7
"female"	"84.7 years (2021 est.)"	7
"region"	"Antigua and Barbuda"	8
"total population"	"77.55 years"	8
"male"	"75.37 years"	8
"female"	"79.85 years (2021 est.)"	8
"region"	"Argentina"	9
"total population"	"78.07 years"	9
"male"	"74.97 years"	9
"female"	"81.36 years (2021 est.)"	9
"region"	"Armenia"	10
"total population"	"75.86 years"	10
"male"	"72.58 years"	10
"female"	"79.44 years (2021 est.)"	10
"region"	"Aruba"	11
"total population"	"77.76 years"	11
"male"	"74.66 years"	11
"female"	"80.93 years (2021 est.)"	11
"region"	"Australia"	12
"total population"	"82.89 years"	12
"male"	"80.73 years"	12
"female"	"85.17 years (2021 est.)"	12
"region"	"Austria"	13
"total population"	"82.07 years"	13
"male"	"79.42 years"	13
"female"	"84.85 years (2021 est.)"	13
"region"	"Azerbaijan"	14
"total population"	"73.88 years"	14
"male"	"70.79 years"	14
"female"	"77.15 years (2021 est.)"	14
"region"	"Bahamas, The"	15
"total population"	"75.87 years"	15
"male"	"72.93 years"	15
"female"	"78.9 years (2021 est.)"	15
"region"	"Bahrain"	16
"total population"	"79.67 years"	16
"male"	"77.39 years"	16
"female"	"82.02 years (2021 est.)"	16
"region"	"Bangladesh"	17
"total population"	"74.43 years"	17
"male"	"72.25 years"	17
"female"	"76.7 years (2021 est.)"	17
"region"	"Barbados"	18
"total population"	"78.31 years"	18
"male"	"75.54 years"	18
"female"	"81.13 years (2021 est.)"	18
"region"	"Belarus"	19
"total population"	"74.01 years"	19
"male"	"68.6 years"	19
"female"	"79.74 years (2021 est.)"	19
"region"	"Belgium"	20
"total population"	"81.65 years"	20
"male"	"79.02 years"	20
"female"	"84.4 years (2021 est.)"	20
"region"	"Belize"	21
"total population"	"75.56 years"	21
"male"	"73.96 years"	21
"female"	"77.24 years (2021 est.)"	21
"region"	"Benin"	22
"total population"	"61.82 years"	22
"male"	"60.02 years"	22
"female"	"63.71 years (2021 est.)"	22
"region"	"Bermuda"	23
"total population"	"81.83 years"	23
"male"	"78.73 years"	23
"female"	"85.09 years (2021 est.)"	23
"region"	"Bhutan"	24
"total population"	"71.5 years"	24
"male"	"70.1 years"	24
"female"	"72.98 years (2021 est.)"	24
"region"	"Bolivia"	25
"total population"	"70.7 years"	25
"male"	"67.87 years"	25
"female"	"73.67 years (2021 est.)"	25
"region"	"Bosnia and Herzegovina"	26
"total population"	"77.74 years"	26
"male"	"74.76 years"	26
"female"	"80.93 years (2021 est.)"	26
"region"	"Botswana"	27
