"name"	"value"	"date_of_information"	"ranking"	"region"
"China"	"1,397,897,720"	"July 2021 est."	"1"	"East Asia/Southeast Asia"
"India"	"1,339,330,514"	"July 2021 est."	"2"	"South Asia"
"United States"	"334,998,398"	"July 2021 est."	"3"	"North America"
"Indonesia"	"275,122,131"	"July 2021 est."	"4"	"East Asia/Southeast Asia"
"Pakistan"	"238,181,034"	"July 2021 est."	"5"	"South Asia"
"Nigeria"	"219,463,862"	"July 2021 est."	"6"	"Africa"
"Brazil"	"213,445,417"	"July 2021 est."	"7"	"South America"
"Bangladesh"	"164,098,818"	"July 2021 est."	"8"	"South Asia"
"Russia"	"142,320,790"	"July 2021 est."	"9"	"Central Asia"
"Mexico"	"130,207,371"	"July 2021 est."	"10"	"North America"
"Japan"	"124,687,293"	"July 2021 est."	"11"	"East Asia/Southeast Asia"
"Ethiopia"	"110,871,031"	"July 2021 est."	"12"	"Africa"
"Philippines"	"110,818,325"	"July 2021 est."	"13"	"East Asia/Southeast Asia"
"Egypt"	"106,437,241"	"July 2021 est."	"14"	"Africa"
"Congo, Democratic Republic of the"	"105,044,646"	"July 2021 est."	"15"	"Africa"
"Vietnam"	"102,789,598"	"July 2021 est."	"16"	"East Asia/Southeast Asia"
"Iran"	"85,888,910"	"July 2021 est."	"17"	"Middle East"
"Turkey"	"82,482,383"	"July 2021 est."	"18"	"Middle East"
"Germany"	"79,903,481"	"July 2021 est."	"19"	"Europe"
"Thailand"	"69,480,520"	"July 2021 est."	"20"	"East Asia/Southeast Asia"
"France"	"68,084,217"	"July 2021 est."	"21"	"Europe"
"United Kingdom"	"67,081,000"	"June 2020 est."	"22"	"Europe"
"Italy"	"62,390,364"	"July 2021 est."	"23"	"Europe"
"Tanzania"	"62,092,761"	"July 2021 est."	"24"	"Africa"
"Burma"	"57,069,099"	"July 2021 est."	"25"	"East Asia/Southeast Asia"
"South Africa"	"56,978,635"	"July 2021 est."	"26"	"Africa"
"Kenya"	"54,685,051"	"July 2021 est."	"27"	"Africa"
"Korea, South"	"51,715,162"	"July 2021 est."	"28"	"East Asia/Southeast Asia"
"Colombia"	"50,355,650"	"July 2021 est."	"29"	"South America"
"Spain"	"47,260,584"	"July 2021 est."	"30"	"Europe"
"Sudan"	"46,751,152"	"July 2021 est."	"31"	"Africa"
"Argentina"	"45,864,941"	"July 2021 est."	"32"	"South America"
"Uganda"	"44,712,143"	"July 2021 est."	"33"	"Africa"
"Ukraine"	"43,745,640"	"July 2021 est."	"34"	"Europe"
"Algeria"	"43,576,691"	"July 2021 est."	"35"	"Africa"
"Iraq"	"39,650,145"	"July 2021 est."	"36"	"Middle East"
"Poland"	"38,185,913"	"July 2021 est."	"37"	"Europe"
"Canada"	"37,943,231"	"July 2021 est."	"38"	"North America"
"Afghanistan"	"37,466,414"	"July 2021 est."	"39"	"South Asia"
"Morocco"	"36,561,813"	"July 2021 est."	"40"	"Africa"
"Saudi Arabia"	"34,783,757"	"July 2021 est."	"41"	"Middle East"
"Angola"	"33,642,646"	"July 2021 est."	"42"	"Africa"
"Malaysia"	"33,519,406"	"July 2021 est."	"43"	"East Asia/Southeast Asia"
"Ghana"	"32,372,889"	"July 2021 est."	"44"	"Africa"
"Peru"	"32,201,224"	"July 2021 est."	"45"	"South America"
"Mozambique"	"30,888,034"	"July 2021 est."	"46"	"Africa"
"Uzbekistan"	"30,842,796"	"July 2021 est."	"47"	"Central Asia"
"Nepal"	"30,424,878"	"July 2021 est."	"48"	"South Asia"
"Yemen"	"30,399,243"	"July 2021 est."	"49"	"Middle East"
"Venezuela"	"29,069,153"	"July 2021 est."	"50"	"South America"
"Cameroon"	"28,524,175"	"July 2021 est."	"51"	"Africa"
"Cote d'Ivoire"	"28,088,455"	"July 2021 est."	"52"	"Africa"
"Madagascar"	"27,534,354"	"July 2021 est."	"53"	"Africa"
"Korea, North"	"25,831,360"	"July 2021 est."	"54"	"East Asia/Southeast Asia"
"Australia"	"25,809,973"	"July 2021 est."	"55"	"Australia - Oceania"
"Niger"	"23,605,767"	"July 2021 est."	"56"	"Africa"
"Taiwan"	"23,572,052"	"July 2021 est."	"57"	"East Asia/Southeast Asia"
"Sri Lanka"	"23,044,123"	"July 2021 est."	"58"	"South Asia"
"Burkina Faso"	"21,382,659"	"July 2021 est."	"59"	"Africa"
"Romania"	"21,230,362"	"July 2021 est."	"60"	"Europe"
"Syria"	"20,384,316"	"July 2021 est."	"61"	"Middle East"
"Malawi"	"20,308,502"	"July 2021 est."	"62"	"Africa"
"Mali"	"20,137,527"	"July 2021 est."	"63"	"Africa"
"Kazakhstan"	"19,245,793"	"July 2021 est."	"64"	"Central Asia"
"Zambia"	"19,077,816"	"July 2021 est."	"65"	"Africa"
"Chile"	"18,307,925"	"July 2021 est."	"66"	"South America"
"Guatemala"	"17,422,821"	"July 2021 est."	"67"	"Central America"
"Chad"	"17,414,108"	"July 2021 est."	"68"	"Africa"
"Netherlands"	"17,337,403"	"July 2021 est."	"69"	"Europe"
"Cambodia"	"17,304,363"	"July 2021 est."	"70"	"East Asia/Southeast Asia"
"Ecuador"	"17,093,159"	"July 2021 est."	"71"	"South America"
"Senegal"	"16,082,442"	"July 2021 est."	"72"	"Africa"
"Zimbabwe"	"14,829,988"	"July 2021 est."	"73"	"Africa"
"Benin"	"13,301,694"	"July 2021 est."	"74"	"Africa"
"Rwanda"	"12,943,132"	"July 2021 est."	"75"	"Africa"
"Guinea"	"12,877,894"	"July 2021 est."	"76"	"Africa"
"Burundi"	"12,241,065"	"July 2021 est."	"77"	"Africa"
"Somalia"	"12,094,640"	"July 2021 est."	"78"	"Africa"
"Tunisia"	"11,811,335"	"July 2021 est."	"79"	"Africa"
"Belgium"	"11,778,842"	"July 2021 est."	"80"	"Europe"
"Bolivia"	"11,758,869"	"July 2021 est."	"81"	"South America"
"Haiti"	"11,198,240"	"July 2021 est."	"82"	"Central America"
"Cuba"	"11,032,343"	"July 2021 est."	"83"	"Central America"
"South Sudan"	"10,984,074"	"July 2021 est."	"84"	"Africa"
"Jordan"	"10,909,567"	"July 2021 est."	"85"	"Middle East"
"Czechia"	"10,702,596"	"July 2021 est."	"86"	"Europe"
"Dominican Republic"	"10,597,348"	"July 2021 est."	"87"	"Central America"
"Greece"	"10,569,703"	"July 2021 est."	"88"	"Europe"
"Azerbaijan"	"10,282,283"	"July 2021 est."	"89"	"Middle East"
"Portugal"	"10,263,850"	"July 2021 est."	"90"	"Europe"
"Sweden"	"10,261,767"	"July 2021 est."	"91"	"Europe"
"United Arab Emirates"	"9,856,612"	"July 2021 est."	"92"	"Middle East"
"Hungary"	"9,728,337"	"July 2021 est."	"93"	"Europe"
"Belarus"	"9,441,842"	"July 2021 est."	"94"	"Europe"
"Honduras"	"9,346,277"	"July 2021 est."	"95"	"Central America"
"Tajikistan"	"8,990,874"	"July 2021 est."	"96"	"Central Asia"
"Austria"	"8,884,864"	"July 2021 est."	"97"	"Europe"
"Israel"	"8,787,045"	"July 2021 est."	"98"	"Middle East"
"Switzerland"	"8,453,550"	"July 2021 est."	"99"	"Europe"
"Togo"	"8,283,189"	"July 2021 est."	"100"	"Africa"
"Laos"	"7,574,356"	"July 2021 est."	"101"	"East Asia/Southeast Asia"
"Papua New Guinea"	"7,399,757"	"July 2021 est."	"102"	"East Asia/Southeast Asia"
"Paraguay"	"7,272,639"	"July 2021 est."	"103"	"South America"
"Hong Kong"	"7,263,234"	"July 2021 est."	"104"	"East Asia/Southeast Asia"
"Libya"	"7,017,224"	"July 2021 est."	"105"	"Africa"
"Serbia"	"6,974,289"	"July 2021 est."	"106"	"Europe"
"Bulgaria"	"6,919,180"	"July 2021 est."	"107"	"Europe"
"Sierra Leone"	"6,807,277"	"July 2021 est."	"108"	"Africa"
"El Salvador"	"6,528,135"	"July 2021 est."	"109"	"Central America"
"Nicaragua"	"6,243,931"	"July 2021 est."	"110"	"Central America"
"Eritrea"	"6,147,398"	"July 2021 est."	"111"	"Africa"
"Kyrgyzstan"	"6,018,789"	"July 2021 est."	"112"	"Central Asia"
"Denmark"	"5,894,687"	"July 2021 est."	"113"	"Europe"
"Singapore"	"5,866,139"	"July 2021 est."	"114"	"East Asia/Southeast Asia"
"Finland"	"5,587,442"	"July 2021 est."	"115"	"Europe"
"Turkmenistan"	"5,579,889"	"July 2021 est."	"116"	"Central Asia"
"Norway"	"5,509,591"	"July 2021 est."	"117"	"Europe"
"Slovakia"	"5,436,066"	"July 2021 est."	"118"	"Europe"
"Congo, Republic of the"	"5,417,414"	"July 2021 est."	"119"	"Africa"
"Central African Republic"	"5,357,984"	"July 2021 est."	"120"	"Africa"
"Lebanon"	"5,261,372"	"July 2021 est."	"121"	"Middle East"
"Ireland"	"5,224,884"	"July 2021 est."	"122"	"Europe"
"Liberia"	"5,214,030"	"July 2021 est."	"123"	"Africa"
"Costa Rica"	"5,151,140"	"July 2021 est."	"124"	"Central America"
"New Zealand"	"4,991,442"	"July 2021 est."	"125"	"Australia - Oceania"
"Georgia"	"4,933,674"	"July 2021 est."	"126"	"Middle East"
"Croatia"	"4,208,973"	"July 2021 est."	"127"	"Europe"
"Mauritania"	"4,079,284"	"July 2021 est."	"128"	"Africa"
"Panama"	"3,928,646"	"July 2021 est."	"129"	"Central America"
"Bosnia and Herzegovina"	"3,824,782"	"July 2021 est."	"130"	"Europe"
"Oman"	"3,694,755"	"July 2021 est."	"131"	"Middle East"
"Uruguay"	"3,398,239"	"July 2021 est."	"132"	"South America"
"Moldova"	"3,323,875"	"July 2021 est."	"133"	"Europe"
"Mongolia"	"3,198,913"	"July 2021 est."	"134"	"East Asia/Southeast Asia"
"Puerto Rico"	"3,142,779"	"July 2021 est."	"135"	"Central America"
"Albania"	"3,088,385"	"July 2021 est."	"136"	"Europe"
"Kuwait"	"3,032,065"	"July 2021 est."	"137"	"Middle East"
"Armenia"	"3,011,609"	"July 2021 est."	"138"	"Middle East"
"West Bank"	"2,949,246"	"July 2021 est."	"139"	"Middle East"
"Jamaica"	"2,816,602"	"July 2021 est."	"140"	"Central America"
"Lithuania"	"2,711,566"	"July 2021 est."	"141"	"Europe"
"Namibia"	"2,678,191"	"July 2021 est."	"142"	"Africa"
"Qatar"	"2,479,995"	"July 2021 est."	"143"	"Middle East"
"Botswana"	"2,350,667"	"July 2021 est."	"144"	"Africa"
"Gabon"	"2,284,912"	"July 2021 est."	"145"	"Africa"
"Gambia, The"	"2,221,301"	"July 2021 est."	"146"	"Africa"
"Lesotho"	"2,177,740"	"July 2021 est."	"147"	"Africa"
"Slovenia"	"2,102,106"	"July 2021 est."	"149"	"Europe"
"Guinea-Bissau"	"1,976,187"	"July 2021 est."	"150"	"Africa"
"Gaza Strip"	"1,957,062"	"July 2021 est."	"151"	"Middle East"
"Kosovo"	"1,935,259"	"July 2021 est."	"152"	"Europe"
"Latvia"	"1,862,687"	"July 2021 est."	"153"	"Europe"
"Bahrain"	"1,526,929"	"July 2021 est."	"154"	"Middle East"
"Timor-Leste"	"1,413,958"	"July 2021 est."	"155"	"East Asia/Southeast Asia"
"Mauritius"	"1,386,129"	"July 2021 est."	"156"	"Africa"
"Cyprus"	"1,281,506"	"July 2021 est."	"157"	"Europe"
"Trinidad and Tobago"	"1,221,047"	"July 2021 est."	"158"	"Central America"
