"name"	"value"	"date_of_information"	"ranking"	"region"
"Japan"	"237.60"	"2017 est."	"1"	"East Asia/Southeast Asia"
"Greece"	"181.80"	"2017 est."	"2"	"Europe"
"Barbados"	"157.30"	"2017 est."	"3"	"Central America"
"Lebanon"	"146.80"	"2017 est."	"4"	"Middle East"
"Italy"	"131.80"	"2017 est."	"5"	"Europe"
"Eritrea"	"131.20"	"2017 est."	"6"	"Africa"
"Congo, Republic of the"	"130.80"	"2017 est."	"7"	"Africa"
"Cabo Verde"	"125.80"	"2017 est."	"8"	"Africa"
"Portugal"	"125.70"	"2017 est."	"9"	"Europe"
"Sudan"	"121.60"	"2017 est."	"10"	"Africa"
"Singapore"	"111.10"	"2017 est."	"11"	"East Asia/Southeast Asia"
"Bhutan"	"106.30"	"2017 est."	"12"	"South Asia"
"Belgium"	"103.40"	"2017 est."	"13"	"Europe"
"Egypt"	"103.00"	"2017 est."	"14"	"Africa"
"Mozambique"	"102.10"	"2017 est."	"15"	"Africa"
"Jamaica"	"101.00"	"2017 est."	"16"	"Central America"
"Belize"	"99.00"	"2017 est."	"17"	"Central America"
"Spain"	"98.40"	"2017 est."	"18"	"Europe"
"Cyprus"	"97.50"	"2017 est."	"19"	"Europe"
"France"	"96.80"	"2017 est."	"20"	"Europe"
"Mauritania"	"96.60"	"2017 est."	"21"	"Africa"
"Jordan"	"95.90"	"2017 est."	"22"	"Middle East"
"Syria"	"94.80"	"2017 est."	"23"	"Middle East"
"Mongolia"	"91.40"	"2017 est."	"24"	"East Asia/Southeast Asia"
"Canada"	"89.70"	"2017 est."	"25"	"North America"
"Bahrain"	"88.50"	"2017 est."	"26"	"Middle East"
"Sao Tome and Principe"	"88.40"	"2017 est."	"27"	"Africa"
"Gambia, The"	"88.00"	"2017 est."	"28"	"Africa"
"United Kingdom"	"87.50"	"2017 est."	"29"	"Europe"
"Antigua and Barbuda"	"86.80"	"2017 est."	"30"	"Central America"
"Aruba"	"86.00"	"2017 est."	"31"	"Central America"
"Brazil"	"84.00"	"2017 est."	"32"	"South America"
"Dominica"	"82.70"	"2017 est."	"33"	"Central America"
"Zimbabwe"	"82.30"	"2017 est."	"34"	"Africa"
"Sri Lanka"	"79.10"	"2017 est."	"35"	"South Asia"
"United States"	"78.80"	"2017 est."	"36"	"North America"
"Austria"	"78.60"	"2017 est."	"37"	"Europe"
"Croatia"	"77.80"	"2017 est."	"38"	"Europe"
"Somalia"	"76.70"	"2017 est."	"39"	"Africa"
"Togo"	"75.70"	"2017 est."	"40"	"Africa"
"Yemen"	"74.50"	"2017 est."	"41"	"Middle East"
"Saint Vincent and the Grenadines"	"73.80"	"2017 est."	"42"	"Central America"
"Hungary"	"73.60"	"2017 est."	"43"	"Europe"
"Slovenia"	"73.60"	"2017 est."	"44"	"Europe"
"Israel"	"72.60"	"2020 est."	"45"	"Middle East"
"Albania"	"71.80"	"2017 est."	"46"	"Europe"
"Ghana"	"71.80"	"2017 est."	"47"	"Africa"
"India"	"71.20"	"2017 est."	"48"	"South Asia"
"Ukraine"	"71.00"	"2017 est."	"49"	"Europe"
"Saint Lucia"	"70.70"	"2017 est."	"50"	"Central America"
"Grenada"	"70.40"	"2017 est."	"51"	"Central America"
"Tunisia"	"70.30"	"2017 est."	"52"	"Africa"
"Suriname"	"69.30"	"2017 est."	"53"	"South America"
"Ireland"	"68.60"	"2017 est."	"54"	"Europe"
"El Salvador"	"67.90"	"2017 est."	"55"	"Central America"
"Montenegro"	"67.20"	"2017 est."	"56"	"Europe"
"Pakistan"	"67.00"	"2017 est."	"57"	"South Asia"
"Uruguay"	"65.70"	"2017 est."	"58"	"South America"
"Morocco"	"65.10"	"2017 est."	"59"	"Africa"
"Angola"	"65.00"	"2017 est."	"60"	"Africa"
"Mauritius"	"64.00"	"2017 est."	"61"	"Africa"
"Germany"	"63.90"	"2017 est."	"62"	"Europe"
"Maldives"	"63.90"	"2017 est."	"63"	"South Asia"
"Sierra Leone"	"63.90"	"2017 est."	"64"	"Africa"
"Laos"	"63.60"	"2017 est."	"65"	"East Asia/Southeast Asia"
"Seychelles"	"63.60"	"2017 est."	"66"	"Africa"
"Zambia"	"63.10"	"2017 est."	"67"	"Africa"
"Saint Kitts and Nevis"	"62.90"	"2017 est."	"68"	"Central America"
"Gabon"	"62.70"	"2017 est."	"69"	"Africa"
"South Sudan"	"62.70"	"2017 est."	"70"	"Africa"
"Serbia"	"62.50"	"2017 est."	"71"	"Europe"
"Nauru"	"62.00"	"2017 est."	"72"	"Australia - Oceania"
"Finland"	"61.30"	"2017 est."	"73"	"Europe"
"Iraq"	"59.70"	"2017 est."	"74"	"Middle East"
"Malawi"	"59.20"	"2017 est."	"75"	"Africa"
"Vietnam"	"58.50"	"2017 est."	"76"	"East Asia/Southeast Asia"
"Argentina"	"57.60"	"2017 est."	"77"	"South America"
"Netherlands"	"56.50"	"2017 est."	"78"	"Europe"
"Kyrgyzstan"	"56.00"	"2017 est."	"79"	"Central Asia"
"Bahamas, The"	"54.60"	"2017 est."	"80"	"Central America"
"Benin"	"54.60"	"2017 est."	"81"	"Africa"
"Mexico"	"54.30"	"2017 est."	"82"	"North America"
"Ethiopia"	"54.20"	"2017 est."	"83"	"Africa"
"Kenya"	"54.20"	"2017 est."	"84"	"Africa"
"Azerbaijan"	"54.10"	"2017 est."	"85"	"Middle East"
"Malaysia"	"54.10"	"2017 est."	"86"	"East Asia/Southeast Asia"
"Guinea-Bissau"	"53.90"	"2017 est."	"87"	"Africa"
"Qatar"	"53.80"	"2017 est."	"88"	"Middle East"
"Armenia"	"53.50"	"2017 est."	"89"	"Middle East"
"Belarus"	"53.40"	"2017 est."	"90"	"Europe"
"Virgin Islands"	"53.30"	"2016 est."	"91"	"Central America"
"South Africa"	"53.00"	"2017 est."	"92"	"Africa"
"Central African Republic"	"52.90"	"2017 est."	"93"	"Africa"
"Chad"	"52.50"	"2017 est."	"94"	"Africa"
"Guyana"	"52.20"	"2017 est."	"95"	"South America"
"Burundi"	"51.70"	"2017 est."	"96"	"Africa"
"Puerto Rico"	"51.60"	"2017 est."	"97"	"Central America"
"Slovakia"	"50.90"	"2017 est."	"98"	"Europe"
"Malta"	"50.70"	"2017 est."	"99"	"Europe"
"Poland"	"50.60"	"2017 est."	"100"	"Europe"
"Tajikistan"	"50.40"	"2017 est."	"101"	"Central Asia"
"Colombia"	"49.40"	"2017 est."	"102"	"South America"
"Samoa"	"49.10"	"2017 est."	"103"	"Australia - Oceania"
"Bolivia"	"49.00"	"2017 est."	"104"	"South America"
"Costa Rica"	"48.90"	"2017 est."	"105"	"Central America"
"Fiji"	"48.90"	"2017 est."	"106"	"Australia - Oceania"
"Vanuatu"	"48.40"	"2017 est."	"107"	"Australia - Oceania"
"Senegal"	"48.30"	"2017 est."	"108"	"Africa"
"Tonga"	"48.00"	"FY2017 est."	"109"	"Australia - Oceania"
"Cuba"	"47.70"	"2017 est."	"110"	"Central America"
"China"	"47.00"	"2017 est."	"111"	"East Asia/Southeast Asia"
"Cote d'Ivoire"	"47.00"	"2017 est."	"112"	"Africa"
"Oman"	"46.90"	"2017 est."	"113"	"Middle East"
"Ecuador"	"45.40"	"2017 est."	"114"	"South America"
"Niger"	"45.30"	"2017 est."	"115"	"Africa"
"Georgia"	"44.90"	"2017 est."	"116"	"Middle East"
"Bermuda"	"43.00"	"FY14/15"	"117"	"North America"
"Thailand"	"41.90"	"2017 est."	"118"	"East Asia/Southeast Asia"
"Switzerland"	"41.80"	"2017 est."	"119"	"Europe"
"Trinidad and Tobago"	"41.80"	"2017 est."	"120"	"Central America"
"Namibia"	"41.30"	"2017 est."	"121"	"Africa"
"Andorra"	"41.00"	"2014 est."	"122"	"Europe"
"Australia"	"40.80"	"2017 est."	"123"	"Australia - Oceania"
"Sweden"	"40.80"	"2017 est."	"124"	"Europe"
"Rwanda"	"40.50"	"2017 est."	"125"	"Africa"
"Iceland"	"40.00"	"2017 est."	"126"	"Europe"
"Uganda"	"40.00"	"2017 est."	"127"	"Africa"
"Philippines"	"39.90"	"2017 est."	"128"	"East Asia/Southeast Asia"
