"Country Name"	"Country Code"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"
"Aruba"	"ABW"	"46.717"	"46.339"	"45.972"	"45.606"	"45.24"	"44.875"	"44.511"	"44.147"	"43.783"	"43.421"	"43.059"	"42.94"	"42.957"	"42.99"	"43.041"	"43.108"	"43.192"	"43.293"	"43.411"	"43.546"	"43.697"
"Africa Eastern and Southern"	"AFE"	"28.6692864525936"	"28.9770739787538"	"29.3041987160712"	"29.631272540665"	"29.9618242264524"	"30.3097046719514"	"30.6462432499318"	"30.9140937794251"	"31.3313210633171"	"31.7564714042204"	"32.1934098004161"	"32.6415481084515"	"33.0716871573659"	"33.5075479703347"	"33.9524243585602"	"34.4050839061798"	"34.8651009391134"	"35.332372600656"	"35.8077701192774"	"36.2913220679034"	"36.7833061490919"
"Afghanistan"	"AFG"	"22.078"	"22.169"	"22.261"	"22.353"	"22.5"	"22.703"	"22.907"	"23.113"	"23.32"	"23.528"	"23.737"	"23.948"	"24.16"	"24.373"	"24.587"	"24.803"	"25.02"	"25.25"	"25.495"	"25.754"	"26.026"
"Africa Western and Central"	"AFW"	"35.3529813285238"	"35.9532481550621"	"36.5579766178363"	"37.1744363338829"	"37.7998187771227"	"38.4313922681047"	"39.0707904715649"	"39.7088246996539"	"40.3459600182028"	"40.9843167330037"	"41.6258794507234"	"42.2646633923943"	"42.9010354250732"	"43.5307043161389"	"44.1571309612333"	"44.7813730017585"	"45.4018091116082"	"46.0193335426773"	"46.6331382779992"	"47.2428528783001"	"47.8486254352506"
"Angola"	"AGO"	"50.087"	"51.274"	"52.461"	"53.645"	"54.827"	"56"	"56.764"	"57.524"	"58.282"	"59.034"	"59.783"	"60.528"	"61.268"	"62.002"	"62.731"	"63.446"	"64.149"	"64.839"	"65.514"	"66.177"	"66.825"
"Albania"	"ALB"	"41.741"	"42.435"	"43.501"	"44.573"	"45.651"	"46.731"	"47.815"	"48.902"	"49.991"	"51.076"	"52.163"	"53.247"	"54.33"	"55.387"	"56.423"	"57.434"	"58.421"	"59.383"	"60.319"	"61.229"	"62.112"
"Andorra"	"AND"	"92.395"	"92.056"	"91.641"	"91.207"	"90.751"	"90.285"	"89.807"	"89.308"	"89.004"	"88.912"	"88.819"	"88.726"	"88.631"	"88.537"	"88.441"	"88.345"	"88.248"	"88.15"	"88.062"	"87.984"	"87.916"
"Arab World"	"ARB"	"52.9893016869898"	"53.2514441589562"	"53.5156256948691"	"53.8011672394373"	"54.1055823150417"	"54.4703063114514"	"54.8657362147685"	"55.1490797361925"	"55.5790743522523"	"56.0097688019882"	"56.4408805184074"	"56.7918957290399"	"57.0983962735312"	"57.4007340495261"	"57.6923254732887"	"58.0314661463348"	"58.3456269803009"	"58.6423223529406"	"58.9265950528938"	"59.2016459579233"	"59.4717656085527"
"United Arab Emirates"	"ARE"	"80.236"	"80.655"	"81.067"	"81.472"	"81.871"	"82.262"	"82.648"	"83.023"	"83.387"	"83.742"	"84.087"	"84.423"	"84.749"	"85.066"	"85.375"	"85.674"	"85.965"	"86.248"	"86.522"	"86.789"	"87.048"
"Argentina"	"ARG"	"89.142"	"89.329"	"89.51"	"89.686"	"89.86"	"90.031"	"90.2"	"90.366"	"90.53"	"90.691"	"90.849"	"90.99"	"91.121"	"91.249"	"91.377"	"91.503"	"91.627"	"91.749"	"91.87"	"91.991"	"92.111"
"Armenia"	"ARM"	"64.666"	"64.385"	"64.236"	"64.137"	"64.038"	"63.938"	"63.839"	"63.739"	"63.64"	"63.54"	"63.44"	"63.34"	"63.24"	"63.164"	"63.112"	"63.085"	"63.082"	"63.103"	"63.149"	"63.219"	"63.313"
"American Samoa"	"ASM"	"88.587"	"88.491"	"88.394"	"88.297"	"88.198"	"88.1"	"88"	"87.9"	"87.799"	"87.697"	"87.594"	"87.502"	"87.42"	"87.348"	"87.288"	"87.238"	"87.198"	"87.17"	"87.153"	"87.147"	"87.153"
"Antigua and Barbuda"	"ATG"	"32.127"	"31.74"	"31.098"	"30.464"	"29.837"	"29.218"	"28.606"	"28.002"	"27.405"	"26.818"	"26.238"	"25.703"	"25.526"	"25.35"	"25.175"	"25"	"24.846"	"24.713"	"24.599"	"24.506"	"24.433"
"Australia"	"AUS"	"84.235"	"84.1"	"84.222"	"84.343"	"84.463"	"84.582"	"84.7"	"84.822"	"84.943"	"85.063"	"85.182"	"85.3"	"85.402"	"85.502"	"85.602"	"85.701"	"85.8"	"85.904"	"86.012"	"86.124"	"86.241"
"Austria"	"AUT"	"60.213"	"59.934"	"59.655"	"59.375"	"59.094"	"58.813"	"58.532"	"58.249"	"57.966"	"57.683"	"57.399"	"57.115"	"57.147"	"57.336"	"57.526"	"57.715"	"57.905"	"58.094"	"58.297"	"58.515"	"58.748"
"Azerbaijan"	"AZE"	"51.386"	"51.587"	"51.787"	"51.988"	"52.189"	"52.389"	"52.589"	"52.79"	"52.99"	"53.19"	"53.406"	"53.637"	"53.883"	"54.145"	"54.422"	"54.714"	"55.021"	"55.343"	"55.68"	"56.031"	"56.397"
"Burundi"	"BDI"	"8.246"	"8.461"	"8.682"	"8.908"	"9.139"	"9.375"	"9.617"	"9.864"	"10.118"	"10.376"	"10.642"	"10.915"	"11.194"	"11.482"	"11.776"	"12.078"	"12.388"	"12.706"	"13.032"	"13.366"	"13.708"
"Belgium"	"BEL"	"97.129"	"97.186"	"97.241"	"97.296"	"97.35"	"97.403"	"97.454"	"97.505"	"97.555"	"97.603"	"97.651"	"97.698"	"97.744"	"97.789"	"97.833"	"97.876"	"97.919"	"97.961"	"98.001"	"98.041"	"98.079"
"Benin"	"BEN"	"38.333"	"38.65"	"39.036"	"39.536"	"40.039"	"40.543"	"41.049"	"41.558"	"42.069"	"42.58"	"43.093"	"43.608"	"44.125"	"44.642"	"45.166"	"45.695"	"46.229"	"46.768"	"47.312"	"47.861"	"48.415"
"Burkina Faso"	"BFA"	"17.844"	"18.54"	"19.258"	"19.996"	"20.757"	"21.537"	"22.339"	"22.996"	"23.534"	"24.079"	"24.633"	"25.196"	"25.767"	"26.346"	"26.934"	"27.53"	"28.134"	"28.743"	"29.358"	"29.98"	"30.607"
"Bangladesh"	"BGD"	"23.59"	"24.096"	"24.756"	"25.429"	"26.114"	"26.809"	"27.517"	"28.237"	"28.968"	"29.709"	"30.462"	"31.225"	"31.993"	"32.762"	"33.535"	"34.308"	"35.083"	"35.858"	"36.632"	"37.405"	"38.177"
"Bulgaria"	"BGR"	"68.899"	"69.166"	"69.524"	"69.879"	"70.233"	"70.584"	"70.932"	"71.278"	"71.622"	"71.963"	"72.302"	"72.638"	"72.975"	"73.313"	"73.651"	"73.99"	"74.329"	"74.669"	"75.008"	"75.347"	"75.686"
"Bahrain"	"BHR"	"88.372"	"88.369"	"88.373"	"88.383"	"88.399"	"88.422"	"88.452"	"88.488"	"88.53"	"88.579"	"88.634"	"88.695"	"88.762"	"88.835"	"88.915"	"88.999"	"89.09"	"89.186"	"89.287"	"89.394"	"89.506"
"Bahamas, The"	"BHS"	"82.007"	"82.049"	"82.092"	"82.134"	"82.176"	"82.218"	"82.26"	"82.302"	"82.343"	"82.385"	"82.427"	"82.476"	"82.532"	"82.596"	"82.668"	"82.746"	"82.832"	"82.925"	"83.025"	"83.132"	"83.245"
"Bosnia and Herzegovina"	"BIH"	"42.384"	"42.698"	"43.014"	"43.33"	"43.648"	"43.965"	"44.282"	"44.601"	"44.92"	"45.239"	"45.558"	"45.878"	"46.199"	"46.519"	"46.84"	"47.173"	"47.518"	"47.876"	"48.245"	"48.626"	"49.02"
"Belarus"	"BLR"	"69.973"	"70.458"	"70.939"	"71.415"	"71.887"	"72.354"	"72.816"	"73.273"	"73.726"	"74.172"	"74.672"	"75.188"	"75.697"	"76.199"	"76.693"	"77.181"	"77.661"	"78.134"	"78.595"	"79.044"	"79.483"
"Belize"	"BLZ"	"45.398"	"45.381"	"45.364"	"45.347"	"45.33"	"45.313"	"45.296"	"45.279"	"45.262"	"45.245"	"45.228"	"45.228"	"45.246"	"45.282"	"45.335"	"45.406"	"45.495"	"45.601"	"45.724"	"45.866"	"46.025"
"Bermuda"	"BMU"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"	"100"
"Bolivia"	"BOL"	"61.787"	"62.306"	"62.783"	"63.248"	"63.711"	"64.17"	"64.628"	"65.082"	"65.535"	"65.984"	"66.43"	"66.874"	"67.315"	"67.699"	"68.047"	"68.393"	"68.738"	"69.08"	"69.425"	"69.773"	"70.123"
"Brazil"	"BRA"	"81.192"	"81.553"	"81.88"	"82.203"	"82.521"	"82.834"	"83.143"	"83.448"	"83.749"	"84.044"	"84.335"	"84.631"	"84.923"	"85.209"	"85.492"	"85.77"	"86.042"	"86.309"	"86.569"	"86.824"	"87.073"
"Barbados"	"BRB"	"33.827"	"33.629"	"33.431"	"33.234"	"33.037"	"32.841"	"32.646"	"32.451"	"32.256"	"32.063"	"31.87"	"31.7"	"31.553"	"31.429"	"31.328"	"31.249"	"31.193"	"31.159"	"31.147"	"31.158"	"31.191"
"Brunei Darussalam"	"BRN"	"71.164"	"71.652"	"72.046"	"72.421"	"72.794"	"73.163"	"73.529"	"73.892"	"74.252"	"74.608"	"74.961"	"75.31"	"75.656"	"75.997"	"76.332"	"76.663"	"76.99"	"77.312"	"77.629"	"77.942"	"78.25"
"Bhutan"	"BTN"	"25.418"	"26.48"	"27.57"	"28.688"	"29.835"	"30.965"	"31.712"	"32.469"	"33.236"	"34.01"	"34.793"	"35.585"	"36.371"	"37.149"	"37.918"	"38.678"	"39.428"	"40.167"	"40.895"	"41.612"	"42.316"
"Botswana"	"BWA"	"53.219"	"54.062"	"54.57"	"55.029"	"55.488"	"55.944"	"56.4"	"57.928"	"59.444"	"60.937"	"62.412"	"63.865"	"64.768"	"65.572"	"66.368"	"67.155"	"67.933"	"68.7"	"69.446"	"70.172"	"70.877"
"Central African Republic"	"CAF"	"37.639"	"37.72"	"37.802"	"37.884"	"37.966"	"38.069"	"38.193"	"38.339"	"38.506"	"38.694"	"38.904"	"39.135"	"39.388"	"39.663"	"39.959"	"40.277"	"40.618"	"40.98"	"41.364"	"41.77"	"42.198"
"Canada"	"CAN"	"79.478"	"79.81"	"79.888"	"79.967"	"80.045"	"80.122"	"80.213"	"80.396"	"80.578"	"80.758"	"80.937"	"81.096"	"81.137"	"81.178"	"81.218"	"81.259"	"81.3"	"81.35"	"81.411"	"81.482"	"81.562"
"Central Europe and the Baltics"	"CEB"	"61.4761873574983"	"61.4954533010999"	"61.5557607471992"	"61.6021556919924"	"61.6481810490578"	"61.7026922241905"	"61.7638954455271"	"61.8418454287671"	"61.9245405466205"	"61.9860468760089"	"62.0260650244197"	"62.0639344852313"	"62.0817769738868"	"62.0968137366794"	"62.1136451427738"	"62.1406724582082"	"62.1844843229932"	"62.2484547292635"	"62.3336666035846"	"62.4381392131022"	"62.5580321482346"
"Switzerland"	"CHE"	"73.383"	"73.375"	"73.401"	"73.427"	"73.452"	"73.478"	"73.504"	"73.53"	"73.556"	"73.581"	"73.607"	"73.631"	"73.653"	"73.674"	"73.696"	"73.718"	"73.739"	"73.761"	"73.797"	"73.849"	"73.915"
"Channel Islands"	"CHI"	"30.465"	"30.495"	"30.557"	"30.619"	"30.681"	"30.743"	"30.805"	"30.867"	"30.929"	"30.992"	"31.054"	"31.091"	"31.059"	"31.027"	"30.995"	"30.962"	"30.93"	"30.914"	"30.914"	"30.931"	"30.963"
"Chile"	"CHL"	"86.073"	"86.363"	"86.606"	"86.665"	"86.725"	"86.783"	"86.842"	"86.9"	"86.959"	"87.017"	"87.074"	"87.132"	"87.189"	"87.246"	"87.303"	"87.36"	"87.422"	"87.49"	"87.564"	"87.643"	"87.727"
"China"	"CHN"	"35.877"	"37.093"	"38.425"	"39.776"	"41.144"	"42.522"	"43.868"	"45.199"	"46.539"	"47.88"	"49.226"	"50.511"	"51.765"	"53.013"	"54.259"	"55.5"	"56.736"	"57.96"	"59.152"	"60.308"	"61.428"
"Cote d'Ivoire"	"CIV"	"43.155"	"43.568"	"43.983"	"44.399"	"44.817"	"45.234"	"45.652"	"46.071"	"46.491"	"46.91"	"47.33"	"47.751"	"48.172"	"48.593"	"49.014"	"49.444"	"49.881"	"50.326"	"50.779"	"51.239"	"51.706"
"Cameroon"	"CMR"	"45.542"	"46.139"	"46.738"	"47.338"	"47.94"	"48.541"	"49.143"	"49.746"	"50.35"	"50.954"	"51.559"	"52.164"	"52.769"	"53.373"	"53.976"	"54.578"	"55.179"	"55.777"	"56.374"	"56.968"	"57.56"
"Congo, Dem. Rep."	"COD"	"35.122"	"35.587"	"36.055"	"36.526"	"37"	"37.481"	"37.971"	"38.47"	"38.976"	"39.491"	"40.013"	"40.544"	"41.082"	"41.627"	"42.18"	"42.74"	"43.307"	"43.88"	"44.46"	"45.046"	"45.638"
"Congo, Rep."	"COG"	"58.695"	"59.156"	"59.617"	"60.076"	"60.533"	"60.988"	"61.441"	"61.893"	"62.346"	"62.8"	"63.256"	"63.712"	"64.169"	"64.627"	"65.085"	"65.543"	"66.001"	"66.459"	"66.916"	"67.373"	"67.829"
"Colombia"	"COL"	"73.957"	"74.379"	"74.797"	"75.211"	"75.62"	"76.024"	"76.423"	"76.816"	"77.204"	"77.587"	"77.964"	"78.335"	"78.701"	"79.061"	"79.415"	"79.764"	"80.108"	"80.446"	"80.778"	"81.104"	"81.425"
"Comoros"	"COM"	"28.08"	"28.036"	"27.992"	"27.947"	"27.903"	"27.875"	"27.863"	"27.867"	"27.886"	"27.921"	"27.973"	"28.04"	"28.123"	"28.223"	"28.338"	"28.47"	"28.619"	"28.784"	"28.965"	"29.164"	"29.38"
"Cabo Verde"	"CPV"	"53.435"	"54.291"	"55.146"	"55.997"	"56.846"	"57.689"	"58.529"	"59.363"	"60.194"	"61.016"	"61.821"	"62.322"	"62.821"	"63.317"	"63.81"	"64.3"	"64.784"	"65.261"	"65.732"	"66.195"	"66.652"
"Costa Rica"	"CRI"	"59.052"	"60.41"	"61.753"	"63.08"	"64.388"	"65.672"	"66.935"	"68.174"	"69.39"	"70.575"	"71.736"	"72.868"	"73.946"	"74.97"	"75.941"	"76.862"	"77.735"	"78.56"	"79.34"	"80.076"	"80.771"
"Caribbean small states"	"CSS"	"50.2479966251559"	"50.3260416953736"	"50.363499045718"	"50.3837162432128"	"50.4015339466939"	"50.4093410768188"	"50.4164960853679"	"50.4224205866075"	"50.4275187825276"	"50.4303703423577"	"50.4340222209539"	"50.4563246671671"	"50.5180015199416"	"50.5913942953527"	"50.6801049848727"	"50.7845671998424"	"50.906347090985"	"51.0446232585678"	"51.199349902547"	"51.3699794608823"	"51.5564381985332"
